node,parents,data
Akt,PIP3 PKC,0.5341959334565619 0.2809611829944547 0.18484288354898337 0.6605783866057838 0.3333333333333333 0.0060882800608828 0.6578947368421053 0.3157894736842105 0.02631578947368421 0.5361256544502618 0.2879581151832461 0.17591623036649215 0.637137989778535 0.35519591141396933 0.007666098807495741 0.7169811320754716 0.2783018867924528 0.0047169811320754715 0.5136986301369864 0.3287671232876712 0.15753424657534246 0.6573208722741433 0.3322949117341641 0.010384215991692628 0.6408839779005525 0.35359116022099446 0.0055248618784530384
Erk,Mek PKA,0.8355437665782494 0.15649867374005305 0.007957559681697613 0.11948051948051948 0.6887445887445888 0.19177489177489176 0.058823529411764705 0.6875 0.2536764705882353 0.34285714285714286 0.4666666666666667 0.19047619047619047 0.04237824161922834 0.7387729285262492 0.21884882985452245 0.07142857142857142 0.07142857142857142 0.8571428571428571 0.01618705035971223 0.20503597122302158 0.7787769784172662 0.027777777777777776 0.8055555555555556 0.16666666666666666 0.25 0.25 0.5
Jnk,,0.539705615119026 0.3879701980737779 0.07232418680719607
Mek,PIP3,0.5620214395099541 0.3215926493108729 0.11638591117917305 0.5940042826552463 0.29764453961456105 0.10835117773019272 0.5910064239828694 0.3099571734475375 0.09903640256959315
P38,,0.7519534799200436 0.13865164455751408 0.1093948755224423
PIP2,PIP3,0.8499234303215927 0.08652373660030628 0.06355283307810107 0.8813704496788008 0.05867237687366167 0.059957173447537475 0.7682012847965739 0.180406852248394 0.05139186295503212
PIP3,,0.23696165727784846 0.42395057241504636 0.33908777030710524
PKA,,0.18717063419952754 0.7121570052698528 0.10067236053061966
PKC,,0.4030528802471379 0.5062693076503725 0.09067781210248956
Plcg,,0.8088315464292204 0.08250045429765582 0.10866799927312375
Raf,PKC PIP2,0.39753879079721777 0.20759764579989298 0.39486356340288925 0.37083333333333335 0.175 0.45416666666666666 0.37606837606837606 0.19658119658119658 0.42735042735042733 0.5426257459505541 0.37809036658141515 0.0792838874680307 0.583916083916084 0.34265734265734266 0.07342657342657342 0.5432098765432098 0.3888888888888889 0.06790123456790123 0.8629441624365483 0.13451776649746192 0.0025380710659898475 0.8805970149253731 0.1044776119402985 0.014925373134328358 0.8695652173913043 0.10869565217391304 0.021739130434782608
