node,parents,data
Akt,Erk PKA,0.65 0.3472222222222222 0.002777777777777778 0.5348837209302325 0.4622093023255814 0.0029069767441860465 0.8235294117647058 0.14705882352941177 0.029411764705882353 0.3063063063063063 0.6891891891891891 0.0045045045045045045 0.8217360114777619 0.17790530846484937 0.0003586800573888092 0.9361702127659575 0.061170212765957445 0.0026595744680851063 0.0021929824561403508 0.1337719298245614 0.8640350877192983 0.18238993710691823 0.8050314465408805 0.012578616352201259 0.20394736842105263 0.7894736842105263 0.006578947368421052
Erk,Mek PKA,0.8355437665782494 0.15649867374005305 0.007957559681697613 0.11948051948051948 0.6887445887445888 0.19177489177489176 0.058823529411764705 0.6875 0.2536764705882353 0.34285714285714286 0.4666666666666667 0.19047619047619047 0.04237824161922834 0.7387729285262492 0.21884882985452245 0.07142857142857142 0.07142857142857142 0.8571428571428571 0.01618705035971223 0.20503597122302158 0.7787769784172662 0.027777777777777776 0.8055555555555556 0.16666666666666666 0.25 0.25 0.5
Jnk,PKA PKC,0.3039332538736591 0.23361144219308702 0.46245530393325385 0.5736842105263158 0.42105263157894735 0.005263157894736842 0.1111111111111111 0.7777777777777778 0.1111111111111111 0.560315670800451 0.43855693348365277 0.0011273957158962795 0.605705353653771 0.3939038686987104 0.00039077764751856197 0.05405405405405406 0.9230769230769231 0.02286902286902287 0.994 0.004 0.002 0.8666666666666667 0.1111111111111111 0.022222222222222223 0.23529411764705882 0.7058823529411765 0.058823529411764705
Mek,PKA PKC Raf,0.7457627118644068 0.23728813559322035 0.01694915254237288 0.29838709677419356 0.0967741935483871 0.6048387096774194 0.283987915407855 0.0030211480362537764 0.7129909365558912 0.7142857142857143 0.26785714285714285 0.017857142857142856 0.2463768115942029 0.7391304347826086 0.014492753623188406 0.704225352112676 0.16901408450704225 0.1267605633802817 0.625 0.25 0.125 0.25 0.5 0.25 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.775609756097561 0.22195121951219512 0.0024390243902439024 0.3371212121212121 0.6515151515151515 0.011363636363636364 0.8264840182648402 0.1232876712328767 0.0502283105022831 0.7130013831258645 0.2863070539419087 0.0006915629322268327 0.3114080164439877 0.68448098663926 0.0041109969167523125 0.22602739726027396 0.6438356164383562 0.13013698630136986 0.8203309692671394 0.1773049645390071 0.002364066193853428 0.21311475409836064 0.7704918032786885 0.01639344262295082 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.9927360774818402 0.004842615012106538 0.002421307506053269 0.971830985915493 0.014084507042253521 0.014084507042253521 0.8636363636363636 0.045454545454545456 0.09090909090909091 0.90625 0.0625 0.03125 0.4166666666666667 0.5 0.08333333333333333 0.5714285714285714 0.2857142857142857 0.14285714285714285 0.8571428571428571 0.07142857142857142 0.07142857142857142 0.16666666666666666 0.6666666666666666 0.16666666666666666 0.3333333333333333 0.3333333333333333 0.3333333333333333
P38,PKA PKC,0.3182359952324195 0.054827175208581644 0.6269368295589988 0.6526315789473685 0.34210526315789475 0.005263157894736842 0.6666666666666666 0.2222222222222222 0.1111111111111111 0.9267192784667418 0.06764374295377677 0.005636978579481398 0.8214146150840171 0.17819460726846426 0.00039077764751856197 0.8087318087318087 0.18711018711018712 0.004158004158004158 0.812 0.076 0.112 0.4222222222222222 0.2 0.37777777777777777 0.6470588235294118 0.29411764705882354 0.058823529411764705
PIP2,PIP3 Plcg,0.9970559371933267 0.001962708537782139 0.0009813542688910696 0.9512195121951219 0.024390243902439025 0.024390243902439025 0.2261904761904762 0.4444444444444444 0.32936507936507936 0.9854563691073219 0.014042126379137413 0.0005015045135406219 0.9012345679012346 0.08641975308641975 0.012345679012345678 0.08270676691729323 0.39097744360902253 0.5263157894736842 0.8727524204702628 0.11618257261410789 0.011065006915629323 0.5 0.4764705882352941 0.023529411764705882 0.056818181818181816 0.10227272727272728 0.8409090909090909
PIP3,Plcg,0.22838535818549294 0.44733887267011 0.32427576914439704 0.08552631578947369 0.17324561403508773 0.7412280701754386 0.4166666666666667 0.44 0.14333333333333334
PKA,PKC,0.377027027027027 0.39864864864864863 0.22432432432432434 0.06743185078909612 0.917144906743185 0.015423242467718794 0.013972055888223553 0.9560878243512974 0.029940119760479042
PKC,,0.4030528802471379 0.5062693076503725 0.09067781210248956
Plcg,,0.8088315464292204 0.08250045429765582 0.10866799927312375
Raf,PKA PKC,0.06793802145411204 0.14541120381406436 0.7866507747318237 0.28421052631578947 0.3526315789473684 0.3631578947368421 0.6666666666666666 0.2222222222222222 0.1111111111111111 0.4599774520856821 0.29537767756482525 0.24464487034949267 0.5642829230168034 0.37944509574052365 0.05627198124267292 0.8752598752598753 0.12266112266112267 0.002079002079002079 0.822 0.138 0.04 0.6666666666666666 0.2222222222222222 0.1111111111111111 0.7058823529411765 0.23529411764705882 0.058823529411764705
